,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
124,3,B.1.617.2,0.5053980855238003,MinION,minION_31442,0.833,0.77469,batch1
125,3,BA.1,0.3918808083424897,MinION,minION_31442,0.833,0.77469,batch1
126,3,B.1.617.2,0.5754873142774249,Aviti,aviti_31441,0.833,0.77469,batch1
127,3,BA.1,0.4169885900858499,Aviti,aviti_31441,0.833,0.77469,batch1
128,3,B.1.617.2,0.4229846034413121,Illumina,illumina_31519,0.833,0.77469,batch2
129,3,BA.1,0.5055344043858425,Illumina,illumina_31519,0.833,0.77469,batch2
130,3,B.1.617.2,0.4397651060173029,Flongle,flongle_31584,0.833,0.77469,batch2
131,3,BA.1,0.3976340283356159,Flongle,flongle_31584,0.833,0.77469,batch2
132,3,B.1.617.2,0.4296724813179303,MinION,minION_31520,0.833,0.77469,batch2
133,3,BA.1,0.4284142704439899,MinION,minION_31520,0.833,0.77469,batch2
134,3,B.1.617.2,0.4537331490673202,Aviti,aviti_31519,0.833,0.77469,batch2
135,3,BA.1,0.5002151126138183,Aviti,aviti_31519,0.833,0.77469,batch2
136,3,B.1.617.2,0.4362754554601595,Illumina,illumina_31581,0.833,0.77469,batch3
137,3,BA.1,0.5506132059154527,Illumina,illumina_31581,0.833,0.77469,batch3
138,3,B.1.617.2,0.4932756737240963,Flongle,flongle_31585,0.833,0.77469,batch3
139,3,BA.1,0.2947282176788868,Flongle,flongle_31585,0.833,0.77469,batch3
140,3,B.1.617.2,0.578602205157994,MinION,minION_31582,0.833,0.77469,batch3
141,3,BA.1,0.2643180139621564,MinION,minION_31582,0.833,0.77469,batch3
142,3,B.1.617.2,0.4418698622695734,Aviti,aviti_31581,0.833,0.77469,batch3
143,3,BA.1,0.5296406157134266,Aviti,aviti_31581,0.833,0.77469,batch3
144,4,B.1.617.2,0.6998801392117787,Illumina,illumina_31441,0.6659999999999999,0.579,batch1
145,4,BA.1,0.2786388017717344,Illumina,illumina_31441,0.6659999999999999,0.579,batch1
146,4,B.1.617.2,0.6106124972395804,Flongle,flongle_31583,0.6659999999999999,0.579,batch1
147,4,BA.1,0.2248262754325443,Flongle,flongle_31583,0.6659999999999999,0.579,batch1
148,4,B.1.617.2,0.6771094942554362,MinION,minION_31442,0.6659999999999999,0.579,batch1
149,4,BA.1,0.2350403403569841,MinION,minION_31442,0.6659999999999999,0.579,batch1
150,4,B.1.617.2,0.6902021145862935,Aviti,aviti_31441,0.6659999999999999,0.579,batch1
151,4,BA.1,0.2776585302664672,Aviti,aviti_31441,0.6659999999999999,0.579,batch1
152,4,B.1.617.2,0.6826922161498779,Illumina,illumina_31519,0.6659999999999999,0.579,batch2
153,4,BA.1,0.2042841827409768,Illumina,illumina_31519,0.6659999999999999,0.579,batch2
154,4,B.1.617.2,0.6366576206896382,Flongle,flongle_31584,0.6659999999999999,0.579,batch2
155,4,BA.1,0.1083523087235235,Flongle,flongle_31584,0.6659999999999999,0.579,batch2
156,4,B.1.617.2,0.6742499181825792,MinION,minION_31520,0.6659999999999999,0.579,batch2
157,4,BA.1,0.1368955266869766,MinION,minION_31520,0.6659999999999999,0.579,batch2
158,4,B.1.617.2,0.686135080467789,Aviti,aviti_31519,0.6659999999999999,0.579,batch2
159,4,BA.1,0.1955219936191532,Aviti,aviti_31519,0.6659999999999999,0.579,batch2
160,4,B.1.617.2,0.6578391376128779,Illumina,illumina_31581,0.6659999999999999,0.579,batch3
161,4,BA.1,0.2401056029840598,Illumina,illumina_31581,0.6659999999999999,0.579,batch3
162,4,B.1.617.2,0.718010199064482,Flongle,flongle_31585,0.6659999999999999,0.579,batch3
163,4,BA.1,0.1193168686372063,Flongle,flongle_31585,0.6659999999999999,0.579,batch3
164,4,B.1.617.2,0.7705815559347373,MinION,minION_31582,0.6659999999999999,0.579,batch3
165,4,BA.1,0.1259377622627766,MinION,minION_31582,0.6659999999999999,0.579,batch3
166,4,B.1.617.2,0.6594095390986539,Aviti,aviti_31581,0.6659999999999999,0.579,batch3
167,4,BA.1,0.2346445052387608,Aviti,aviti_31581,0.6659999999999999,0.579,batch3
168,5,B.1.617.2,0.7719337130482488,Illumina,illumina_31441,0.583,0.4905,batch1
169,5,BA.1,0.1969055320899088,Illumina,illumina_31441,0.583,0.4905,batch1
170,5,B.1.617.2,0.747072131470314,Flongle,flongle_31583,0.583,0.4905,batch1
171,5,BA.1,0.0628782323684219,Flongle,flongle_31583,0.583,0.4905,batch1
172,5,B.1.617.2,0.7719337130442567,MinION,minION_31442,0.583,0.4905,batch1
173,5,BA.1,0.1969055320889482,MinION,minION_31442,0.583,0.4905,batch1
174,5,B.1.617.2,0.7768087419969617,Aviti,aviti_31441,0.583,0.4905,batch1
175,5,BA.1,0.1896703158420147,Aviti,aviti_31441,0.583,0.4905,batch1
176,5,B.1.617.2,0.7902833400965096,Illumina,illumina_31519,0.583,0.4905,batch2
177,5,BA.1,0.1846163198271856,Illumina,illumina_31519,0.583,0.4905,batch2
178,5,B.1.617.2,0.7035460196470958,Flongle,flongle_31584,0.583,0.4905,batch2
179,5,BA.1,0.1671722798567129,Flongle,flongle_31584,0.583,0.4905,batch2
180,5,B.1.617.2,0.7632347253632913,MinION,minION_31520,0.583,0.4905,batch2
181,5,BA.1,0.1697112966250152,MinION,minION_31520,0.583,0.4905,batch2
182,5,B.1.617.2,0.7908288896007649,Aviti,aviti_31519,0.583,0.4905,batch2
183,5,BA.1,0.184281292156088,Aviti,aviti_31519,0.583,0.4905,batch2
184,5,B.1.617.2,0.7461439883274935,Illumina,illumina_31581,0.583,0.4905,batch3
185,5,BA.1,0.1801634343711458,Illumina,illumina_31581,0.583,0.4905,batch3
186,5,B.1.617.2,0.6932798168001059,Flongle,flongle_31585,0.583,0.4905,batch3
187,5,BA.1,0.1509813276933044,Flongle,flongle_31585,0.583,0.4905,batch3
188,5,B.1.617.2,0.7543000676621703,MinION,minION_31582,0.583,0.4905,batch3
189,5,BA.1,0.1426984310295065,MinION,minION_31582,0.583,0.4905,batch3
190,5,B.1.617.2,0.7526926925893384,Aviti,aviti_31581,0.583,0.4905,batch3
191,5,BA.1,0.2002249772022968,Aviti,aviti_31581,0.583,0.4905,batch3
192,6,B.1.617.2,0.8344452106492428,Illumina,illumina_31441,0.5,0.40747999999999995,batch1
193,6,BA.1,0.1476745628560226,Illumina,illumina_31441,0.5,0.40747999999999995,batch1
194,6,B.1.617.2,0.6990856578329986,Flongle,flongle_31583,0.5,0.40747999999999995,batch1
195,6,BA.1,0.0568248703483009,Flongle,flongle_31583,0.5,0.40747999999999995,batch1
196,6,B.1.617.2,0.8025676595818928,MinION,minION_31442,0.5,0.40747999999999995,batch1
197,6,BA.1,0.0901393989888624,MinION,minION_31442,0.5,0.40747999999999995,batch1
198,6,B.1.617.2,0.8344458744852715,Aviti,aviti_31441,0.5,0.40747999999999995,batch1
199,6,BA.1,0.1441251324833726,Aviti,aviti_31441,0.5,0.40747999999999995,batch1
200,6,B.1.617.2,0.8558208702656528,Illumina,illumina_31519,0.5,0.40747999999999995,batch2
201,6,BA.1,0.1315560016158782,Illumina,illumina_31519,0.5,0.40747999999999995,batch2
202,6,B.1.617.2,0.7542955779623304,Flongle,flongle_31584,0.5,0.40747999999999995,batch2
203,6,BA.1,0.073432639018162,Flongle,flongle_31584,0.5,0.40747999999999995,batch2
204,6,B.1.617.2,0.7800564048929041,MinION,minION_31520,0.5,0.40747999999999995,batch2
205,6,BA.1,0.0954553589972375,MinION,minION_31520,0.5,0.40747999999999995,batch2
206,6,B.1.617.2,0.8498651763490882,Aviti,aviti_31519,0.5,0.40747999999999995,batch2
207,6,BA.1,0.1392165836525247,Aviti,aviti_31519,0.5,0.40747999999999995,batch2
208,6,B.1.617.2,0.785309423651361,Illumina,illumina_31581,0.5,0.40747999999999995,batch3
